X_Value,Sens1,Sens2,Sens3,Sens4,Sens5,Sens6,Sens7,Sens8,Sens9,Sens10,Sens11,Sens12,Sens13,Sens14,Sens15,Sens16,Release,Comment
14.144000,0.696356,0.674460,0.678968,0.697966,0.695390,0.671884,0.676070,0.678002,0.756482,0.683676,0.665314,0.733932,0.683999,0.654039,0.665314,0.652428,1.000000,
14.148000,0.694424,0.673172,0.677680,0.696034,0.694102,0.671240,0.675104,0.677680,0.750683,0.682388,0.664992,0.729099,0.682388,0.653717,0.665636,0.651462,1.000000,
14.152000,0.696678,0.674138,0.679290,0.697322,0.696678,0.671562,0.675748,0.678968,0.757126,0.682388,0.665958,0.734898,0.682066,0.655005,0.665314,0.652106,1.000000,
14.156000,0.694102,0.674138,0.678002,0.695712,0.693780,0.670274,0.674782,0.677358,0.750039,0.680777,0.667569,0.728455,0.681744,0.653395,0.662737,0.651462,1.000000,
14.160000,0.696356,0.674460,0.679612,0.697966,0.696034,0.671562,0.676714,0.678968,0.759059,0.683032,0.665958,0.735220,0.683354,0.655005,0.665636,0.652106,1.000000,
14.164000,0.694424,0.672528,0.678324,0.697322,0.694746,0.670596,0.674782,0.678002,0.749073,0.681421,0.664348,0.728455,0.682388,0.653395,0.664348,0.651139,1.000000,
14.168000,0.696678,0.673172,0.679934,0.698288,0.696034,0.671562,0.675748,0.678646,0.758415,0.683032,0.665314,0.735542,0.683676,0.654683,0.661126,0.652106,1.000000,
14.172000,0.694102,0.673172,0.677680,0.696034,0.694102,0.670274,0.674782,0.677036,0.749395,0.681421,0.664348,0.728133,0.680777,0.653717,0.664348,0.651462,1.000000,
14.176000,0.696678,0.673816,0.679290,0.697322,0.696356,0.671884,0.676392,0.679290,0.757771,0.683354,0.665958,0.735220,0.683676,0.654361,0.665958,0.652750,1.000000,
14.180000,0.694746,0.672850,0.678324,0.695712,0.693780,0.670596,0.672850,0.677358,0.750039,0.682066,0.664670,0.728455,0.681744,0.653395,0.664025,0.651139,1.000000,
14.184000,0.696678,0.674460,0.679290,0.697000,0.695712,0.672206,0.675748,0.678968,0.757126,0.683032,0.665958,0.734898,0.683999,0.654039,0.665636,0.652750,1.000000,
