X_Value,Sens1,Sens2,Sens3,Sens4,Sens5,Sens6,Sens7,Sens8,Sens9,Sens10,Sens11,Sens12,Sens13,Sens14,Sens15,Sens16,Release,Comment
0.160000,0.700220,0.677680,0.682510,0.704406,0.699576,0.676714,0.676714,0.681222,0.772589,0.687542,0.669502,0.747784,0.688187,0.656616,0.667891,0.655005,0.000000,
0.164000,0.701186,0.677680,0.683154,0.704406,0.700542,0.676714,0.676714,0.681866,0.768724,0.685931,0.667569,0.743274,0.685931,0.655327,0.667247,0.654683,0.000000,
0.168000,0.700542,0.677680,0.681866,0.703762,0.699898,0.676714,0.676714,0.681544,0.771301,0.686898,0.669180,0.746818,0.686898,0.656294,0.667891,0.654683,0.000000,
0.172000,0.701186,0.678002,0.682832,0.705050,0.700542,0.677680,0.677358,0.681866,0.769046,0.685931,0.668858,0.743918,0.686898,0.656294,0.667569,0.654683,0.000000,
0.176000,0.699898,0.678002,0.681866,0.703118,0.699576,0.676392,0.675426,0.681544,0.769690,0.687542,0.668858,0.745851,0.686254,0.655972,0.667569,0.655005,0.000000,
0.180000,0.701508,0.678646,0.682510,0.705050,0.700864,0.677680,0.677680,0.682510,0.770979,0.687220,0.668858,0.745207,0.686254,0.655972,0.667247,0.654361,0.000000,
0.184000,0.700220,0.677680,0.681866,0.703118,0.699254,0.676392,0.676070,0.681866,0.768079,0.687542,0.669180,0.743596,0.686898,0.655972,0.667247,0.654683,0.000000,
0.188000,0.701186,0.679290,0.682510,0.705050,0.701508,0.677036,0.677680,0.682832,0.772912,0.686254,0.669502,0.747462,0.686254,0.656616,0.667247,0.655650,0.000000,
0.192000,0.699576,0.677358,0.681222,0.703440,0.699254,0.676392,0.676714,0.680900,0.766469,0.686576,0.668213,0.742630,0.686254,0.655650,0.667247,0.654361,0.000000,
0.196000,0.701830,0.678968,0.683476,0.705050,0.701186,0.677680,0.677680,0.682188,0.773234,0.687220,0.668858,0.747784,0.686898,0.656294,0.667247,0.655005,0.000000,
0.200000,0.699254,0.677358,0.681866,0.702796,0.699254,0.676392,0.676070,0.681222,0.765502,0.686254,0.669180,0.741985,0.686576,0.655972,0.666603,0.654361,0.000000,
0.204000,0.701830,0.678968,0.682832,0.705694,0.700864,0.677680,0.678002,0.682832,0.776133,0.687864,0.669824,0.749073,0.686898,0.656616,0.667891,0.655005,0.000000,
0.208000,0.698932,0.677358,0.681866,0.702796,0.698610,0.676392,0.676070,0.680578,0.765502,0.686898,0.668535,0.741663,0.685931,0.655972,0.666925,0.654683,0.000000,
0.212000,0.701830,0.678646,0.683798,0.705694,0.701186,0.677680,0.678002,0.682832,0.775167,0.687220,0.669824,0.749717,0.687220,0.656294,0.670146,0.655005,0.000000,
0.216000,0.699898,0.677358,0.682188,0.703118,0.698932,0.676392,0.676714,0.681222,0.764858,0.685931,0.669180,0.740697,0.685609,0.655650,0.666603,0.653717,0.000000,
0.220000,0.701508,0.678646,0.683476,0.705694,0.700864,0.678002,0.676714,0.682510,0.776133,0.687542,0.669502,0.749395,0.686898,0.656616,0.667569,0.655005,0.000000,
0.224000,0.699898,0.677358,0.681866,0.703118,0.699576,0.675426,0.676392,0.681222,0.764536,0.686576,0.668535,0.740697,0.685931,0.655327,0.666603,0.654039,0.000000,
0.228000,0.700864,0.678324,0.683154,0.705050,0.701186,0.677358,0.677036,0.683154,0.776455,0.687220,0.669824,0.750683,0.687542,0.656616,0.668858,0.655327,0.000000,
0.232000,0.699898,0.677036,0.681866,0.703118,0.697966,0.676070,0.676392,0.681222,0.763891,0.685931,0.667891,0.740052,0.685609,0.655650,0.666603,0.653717,0.000000,
0.236000,0.701186,0.678324,0.683476,0.705050,0.700542,0.678646,0.677680,0.682510,0.775811,0.688509,0.669180,0.750683,0.686898,0.657260,0.668213,0.655650,0.000000,
0.240000,0.699576,0.678002,0.682188,0.703762,0.699576,0.677036,0.677358,0.680900,0.764214,0.686254,0.668535,0.740697,0.685609,0.656294,0.666603,0.653717,0.000000,
0.244000,0.700542,0.678324,0.682188,0.704728,0.700542,0.677358,0.677036,0.682188,0.775489,0.687220,0.669180,0.749717,0.687864,0.656294,0.668213,0.655005,0.000000,
0.248000,0.700542,0.678324,0.681866,0.704084,0.699576,0.677036,0.677036,0.681544,0.765180,0.685931,0.668213,0.741019,0.684965,0.655650,0.665958,0.653717,0.000000,
0.252000,0.700220,0.677036,0.682188,0.704406,0.700542,0.677358,0.677036,0.681544,0.773878,0.688187,0.669180,0.749073,0.686898,0.656616,0.668535,0.655327,0.000000,
0.256000,0.700220,0.678324,0.682510,0.705050,0.699898,0.677358,0.676392,0.681544,0.766146,0.685609,0.669180,0.741663,0.685931,0.655972,0.665958,0.654361,0.000000,
0.260000,0.700864,0.678002,0.682510,0.704406,0.699254,0.677358,0.677036,0.681544,0.772912,0.687542,0.668858,0.747784,0.687220,0.656294,0.667569,0.654361,0.000000,
0.264000,0.701830,0.678324,0.683154,0.704728,0.700220,0.677036,0.676714,0.681544,0.767435,0.685931,0.668858,0.742952,0.685931,0.656294,0.666925,0.653072,0.000000,
0.268000,0.700220,0.678646,0.682510,0.703440,0.699576,0.677680,0.676714,0.681544,0.770979,0.686576,0.668858,0.746495,0.686576,0.655972,0.666925,0.655327,0.000000,
0.272000,0.701508,0.678646,0.683798,0.704728,0.700864,0.678002,0.678002,0.682510,0.769046,0.687220,0.669502,0.744562,0.686254,0.655972,0.667569,0.654683,0.000000,
0.276000,0.699898,0.677680,0.681544,0.703440,0.699898,0.677036,0.676714,0.681544,0.769368,0.687220,0.669180,0.744885,0.686576,0.656616,0.667569,0.654361,0.000000,
0.280000,0.702152,0.679612,0.682510,0.705050,0.700864,0.677680,0.677358,0.682510,0.771623,0.686898,0.668213,0.746173,0.687220,0.655650,0.666925,0.655327,0.000000,
0.284000,0.699576,0.677358,0.681866,0.703440,0.700220,0.676714,0.676392,0.681544,0.767435,0.686898,0.669502,0.744240,0.685931,0.655327,0.667247,0.654683,0.000000,
0.288000,0.701508,0.678968,0.684120,0.705050,0.700864,0.677680,0.677036,0.682832,0.772267,0.686898,0.668535,0.746818,0.686576,0.654361,0.667569,0.654361,0.000000,
0.292000,0.699254,0.677358,0.681544,0.701830,0.699576,0.676392,0.676392,0.679612,0.766791,0.686576,0.668535,0.742952,0.686576,0.655650,0.667569,0.654361,0.000000,
0.296000,0.701508,0.679290,0.682832,0.705372,0.700864,0.677680,0.678002,0.682832,0.771945,0.686898,0.668858,0.748428,0.686254,0.656616,0.667891,0.655327,0.000000,
0.300000,0.699254,0.677036,0.681866,0.702152,0.699254,0.676070,0.676070,0.681222,0.766146,0.685287,0.668535,0.742630,0.685931,0.654361,0.666280,0.654361,0.000000,
